Source,...2,BLUPs_RF,E1_RF,E2_RF,E4_RF,E5_RF
GP502-correlation- 41 - RF,E5,0.201818872,0.13758509,-0.050076872,-0.045395807,0.355643407
GP502-correlation- 42 - RF,E5,0.05531279,-0.240841711,-0.148879246,-0.021431977,0.423784285
GP502-correlation- 43 - RF,E5,0.361971016,0.14558931,0.231184799,0.047039917,0.281011798
GP502-correlation- 44 - RF,E5,0.12060118,0.028828188,-0.034323062,0.232470825,0.219794516
GP502-correlation- 45 - RF,E5,0.291719657,-0.132251882,0.015490136,0.211118562,0.446388786
GP502-correlation- 46 - RF,E5,0.383906593,0.165120457,0.19538613,-0.002987647,0.514398405
GP502-correlation- 47 - RF,E5,0.130437107,0.212313735,-0.029970048,0.042008362,0.211905278
GP502-correlation- 48 - RF,E5,0.243449378,-0.182650568,0.045356907,0.31424607,0.4224314
GP502-correlation- 49 - RF,E5,0.082825487,-0.285218633,-0.105430867,-0.159041642,0.52522477
GP502-correlation- 50 - RF,E5,0.372014762,0.190168953,0.246920009,0.200869943,0.288776775
GP502-correlation- 1 - RF,BLUPs,0.612764087,0.368338468,0.526539664,0.228408426,0.498774104
GP502-correlation- 2 - RF,BLUPs,0.444426388,0.277821748,0.205214402,0.402442855,0.479069132
GP502-correlation- 3 - RF,BLUPs,0.408130372,0.358110755,0.305975157,0.103586879,0.358496893
GP502-correlation- 4 - RF,BLUPs,0.427949517,0.312557734,0.279363558,0.000682056,0.396239463
GP502-correlation- 5 - RF,BLUPs,0.464922045,0.35199929,0.273753892,0.290729252,0.34791524
GP502-correlation- 6 - RF,BLUPs,0.205335273,0.29920998,0.158968815,0.218106769,0.191077961
GP502-correlation- 7 - RF,BLUPs,0.508692344,0.449902085,0.430908119,0.285687275,0.032893258
GP502-correlation- 8 - RF,BLUPs,0.348448009,0.391828684,0.311222928,0.164118861,0.13006877
GP502-correlation- 9 - RF,BLUPs,0.275838532,0.073487803,0.092721918,0.173863119,0.236685696
GP502-correlation- 10 - RF,BLUPs,0.481419775,0.314659759,0.45778263,0.416135018,0.195060963
GP502-correlation- 11 - RF,BLUPs,0.557729267,0.430514852,0.457614025,0.200490479,0.320372921
GP502-correlation- 12 - RF,BLUPs,0.411434603,0.627008724,0.438821573,0.420367969,0.186259816
GP502-correlation- 13 - RF,BLUPs,0.381593462,0.382000068,0.194897377,0.103663188,0.216973742
GP502-correlation- 14 - RF,BLUPs,0.639055178,0.357555545,0.388491483,0.290182217,0.544642879
GP502-correlation- 15 - RF,BLUPs,0.548899008,0.266350468,0.305879185,0.30461411,0.450388796
GP502-correlation- 16 - RF,BLUPs,0.207433058,0.347548112,0.197394899,0.018049244,0.165307435
GP502-correlation- 17 - RF,BLUPs,0.580943234,0.656136784,0.466747881,0.360934976,0.306404802
GP502-correlation- 18 - RF,BLUPs,0.418895974,0.296927321,0.36315538,0.430111801,0.213146842
GP502-correlation- 19 - RF,BLUPs,0.427091853,0.502212193,0.330429465,-0.069166821,0.398427498
GP502-correlation- 20 - RF,BLUPs,0.240208432,0.132596909,0.161355276,0.037357414,0.285302513
GP502-correlation- 21 - RF,BLUPs,0.524369697,0.393154792,0.23280719,-0.076691398,0.495592149
GP502-correlation- 22 - RF,BLUPs,0.399121199,0.425364492,0.233203033,0.162285492,0.381037245
GP502-correlation- 23 - RF,BLUPs,0.436258467,0.369724585,0.390158425,0.264696189,0.243644144
GP502-correlation- 24 - RF,BLUPs,0.505145394,0.523115315,0.432509302,0.288498572,0.200941148
GP502-correlation- 25 - RF,BLUPs,0.625570276,0.279889363,0.343965934,0.358428843,0.535233122
GP502-correlation- 26 - RF,BLUPs,0.488304663,0.490296612,0.456266464,0.072298617,0.159979924
GP502-correlation- 27 - RF,BLUPs,0.534125785,0.381617031,0.527315978,0.349643036,0.110774809
GP502-correlation- 28 - RF,BLUPs,0.401972997,0.212892337,0.42523336,0.151993382,0.157722294
GP502-correlation- 29 - RF,BLUPs,0.420543991,0.349666568,0.414856339,0.20681477,0.170829677
GP502-correlation- 30 - RF,BLUPs,0.513576591,0.282551009,0.422582691,0.346790051,0.162373012
GP502-correlation- 31 - RF,BLUPs,0.362028882,0.363801881,0.355762746,0.090017498,0.093579302
